name,usage,crop,problem,problem_notes,faostat_name,faostat_definition
Nitrogenous Fertilizers,,Potato,,,Potatoes,"Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere."
Nitrogenous Fertilizers,,Horticulture,1,,,
Nitrogenous Fertilizers,,ornamentals,1,,,
Calcium Nitrate,,,,,,
Nitrogenous Fertilizers,,,,,,
SOP,,,,,,
Organic Fertilizers,,,,,,
Nitrogenous Fertilizers,,,,,,
CAN,,,,,,
Calcium Nitrate,,Cocoa,1,,"Cocoa, beans","Theobroma cacao. The seeds contained in the fruit of the cacao- tree, including whole or broken, raw or roasted."
Ammonium sulphate,,,,,,
Nitrogenous Fertilizers,,,,,,
PK 0 23 15 + 4S +1MgO + 10CaO + Z,,Legumes,1,,,
PK 0 23 19,,,,,,
PK 0 60 20,,,,,,
PK 0 32 25,,,,,,
PK 0 42 28,,Flowers,1,,,
PK 0 42 28,,Fruits,1,,,
PK 0 42 28,,Vegetables,1,,"Vegetables, fresh nes","Including inter alia: bamboo shoots (Bambusa spp.); beets, chards (Beta vulgaris); capers (Capparis spinosa); cardoons (Cynara cardunculus); celery (Apium graveolens); chervil (Anthriscus cerefolium); cress (Lepidium sativum); fennel (Foeniculum vulgare); horseradish (Cochlearia armoracia); marjoram, sweet (Majorana hortensis); oyster plant (Tragopogon porrifolius); parsley (Petroselinum crispum); parsnips (Pastinaca sativa); radish (Raphanus sativus); rhubarb (Rheum spp.); rutabagas, swedes (Brassica napus); savory (Satureja hortensis); scorzonera (Scorzonera hispanica); sorrel (Rumex acetosa); soybean sprouts tarragon (Artemisia dracunculus); watercress (Nasturtium officinale). Other vegetables that are not identified separately because of their minor relevance at the international level. Because of their limited local importance, some countries report vegetables under this heading that are classified individually by FAO."
PK 0 42 28,,Potato,,,Potatoes,"Solanum tuberosum Irish potato. A seasonal crop grown in temperate zones all over the world, but primarily in the northern hemisphere."
PK 0 42 28,,Cucumber,1,,Cucumbers and gherkins,Cucumis sativus.
PK 0 42 28,,Watermelon,,,Watermelons,Citrullus vulgaris.
PK 0 42 28,,Tomato,,,Tomatoes,Lycopersicon esculentum.
PK 0 42 28,,Eggplant,,,Eggplants (aubergines),Solanum melongena. Also called aubergines.
PK 0 42 28,,Ornamentals,1,,,
PK 0 73 8.3,,Horticulture,1,,,
PK 0 73 8.3,,Grapes and Fruits,1,,,
NPK 1 1 15,,,,,,
NPK 1 21 19 + TE,,Cocao,1,,,
NPK 3 2 13,,,,,,
NPK 4 17 15,,,,,,
NPK 4 18 15,,Tobacco,,,"Tobacco, unmanufactured","Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
NPK 4 18 15,,Horticulture,1,,,
NPK 4 25 15,,,,,,
NPK 5 7.5 5 + 5S+5CaO,,,,,,
NPK 5 10 27 ,,,,,,
NPK 5 27 20 6S + 6CaO,,,,,,
NPK 5 7.5 5 + 5S + 5MgO + TE,,,,,,
NPK 5.9  18 30 ,,,,,,
NK 6 0 3.5,,,,,,
NK 6 0 20 + TE,,,,,,
NPK 6 13 3 + 3.3S + 2MgO + 2.9Mn + 2Zn,,,,,,
NPK 6 20 18,,,,,,
NPK 6 24 20,,Tobacco,,,"Tobacco, unmanufactured","Nicotiana tabacum. Unmanufactured dry tobacco, including refuse that is not stemmed or stripped, or is partly or wholly stemmed or stripped."
NPK 6 24 21,,,,,,
NP 7 20 0 + 2S + 2MgO,,,,,,
NPK 7 6 44 + 2Mg0,,,,,,
NPK 7 12 30 + 2MgO + TE,,,,,,
NPK 7 14 7,,Maize,,,Maize,"Zea mays Corn, Indian corn, mealies. A grain with a high germ content. At the national level, hybrid and ordinary maize should be reported separately owing to widely different yields and uses. Used largely for animal feed and commercial starch production."
NPK 7 20 13 + (Lime),,Soya - beans,,,Soybeans,"Glycine soja. The most important oil crop. Also widely consumed as a bean and in the form of various derived products because of its high protein content, e.g. soya milk, meat, etc."
