FERTILZER PRODUCT CATALOGUE,,,,,,,,,,nutrients,,,,,,,,,,,,,,,Countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HS Code,AFO 8 code,AFO 10 code,CPC code,Class,Fertilizer Name (industry),FAO product description,Description,Brand Name,Usage,Type,N,P,K,S,MgO,CaO,Zn,B,Mn,Cu,Fe,Mo,Cl,ALG,BEN,BUR,BDI,CMR,COD,EGY,ETH,GHA,GBS,GUI,CIV,KEN,LBR,MAD,MAW,MLI,MRI,MOZ,NIG,NGR,RSA,RWA,SEN,SEY,SLE,SUD,TAN,TOG,UGA,ZAM,ZIM,Main use [crops],Recommened Application Rates,Source
31024000,,,34615,Nitrogenous fertilizers,CAN,Calcium ammonium nitrate,,Yara Bela,,S,27,0,0,0,"1,6","5,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.yara.us/agriculture/products/yarabela/2487-yarabela-can-27/default.aspx
31026000,,,,Nitrogenous fertilizers,Calcium Nitrate,,,YARA LIVA NITRABOR,,S,"15,4",0,0,0,0,"25,6",,"0,3",,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,Cocoa,,www.yaraghana.com/getdoc/5736cd0b-295d-4a40-bb61-c78348017ce1/yaraliva-nitrabor-v5-ghana.aspx
31022100,,,34612,Nitrogenous fertilizers,Ammonium sulphate,Ammonium sulphate,,YARA SULFAN,,S,24,0,0,6,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,www.yaraghana.com/Products/Our-Nitrogen-Source/YaraBela%E2%84%A2-SULFAN%E2%84%A2.aspx
31029100,,,34619,Nitrogenous Fertilizers,Nitrogenous Fertilizers,,,YARAVITA BORTRAC                             ,,L,4,0,0,0,0,0,0,"10,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.yara.us/images/front%20label_Bortrac_tcm362-56454.pdf
31056000,,,34645,Complex fertilizers,PK 0 23 15 + 4S +1MgO + 10CaO + Z,PK compounds,,,,,0,23,15,4,1,10,1,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,Legumes,,
31056000,,,34645,Complex fertilizers,PK 0 23 19,PK compounds,,,,,0,23,19,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
31056000,,,34645,Complex fertilizers,PK 0 60 20,PK compounds,,,,,0,60,20,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
31056000,,,34645,Complex fertilizers,PK 0 32 25,PK compounds,,PHOSGARD PLUS,,L,0,32,25,0,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,
31056000,,,34645,Complex fertilizers,PK 0 42 28,PK compounds,,TRAFOS K,,L,0,42,28,0,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,"Flowers, Fruits, Vegetables, Potato, Cucumber, Watermelon, Tomato, Eggplant, Ornamentals","6-18L.ha for Fruits, 6L/ha for vegetables, 2 x 3l/ha for Potato, 2 x 2-3L/ha for Watermelon, Cucumber, Tomato, Pepper, EggPlant, after transplanting, 3-4 x 2-3L/ha for flowers and Ornamentals during vegetative stages",www.griculture.co.ke/TRAFOSK.pdf
31056000,,,34645,Complex fertilizers,PK 0 73 8.3,PK compounds,,FOSFONIN FLOW,,S,0,73,"8,3",0,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,"Horticulture, Grapes and Fruits",2-3L/ha for Horticulture and 1-1.5L/ha for Fruits and Grapes,
31052000,,,34641,Complex fertilizers,NPK 1 1 15,NPK complex >10kg,,ECOLOGICAL FERTILIZER,,,1,1,15,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 1 21 19 + TE,NPK complex >10kg,,,,,1,21,19,,,,,,,,,,TE,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,Cocao,,
31052000,,,34641,Complex fertilizers,NPK 3 2 13,NPK complex >10kg,,FLANAMAT,,,3,2,13,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
31052000,,,34641,Complex fertilizers,NPK 4 17 15,NPK complex >10kg,,,,,4,17,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,
