adm1_code,adm1_label,valueX,valueY
16267.00000,Aube,411.25,595.8333333333334
16304.00000,Tarn,428.6,763.6
18353.00000,Imperia,542.0,430.0
18376.00000,Cuneo,585.0909090909091,1078.0
16253.00000,Nievre,501.2,833.2
18371.00000,Campobasso,90.2,410.6
18322.00000,Potenza,737.0,320.8333333333333
25811.00000,Alicante,61.8,11.5
18326.00000,Reggio Calabria,50.166666666666664,127.8
16261.00000,Eure-et-Loir,282.6923076923077,702.5384615384615
18335.00000,Ferrara,338.1666666666667,759.3333333333334
18389.00000,Sassari,183.0,191.30769230769232
25782.00000,Malaga,25.714285714285715,1.0
16308.00000,Loire-Atlantique,477.5,383.64285714285717
25822.00000,Murcia,88.76923076923077,19.77777777777778
16254.00000,Saone-et-Loire,1124.625,966.0
16299.00000,Aveyron,565.5454545454545,972.6363636363636
