adm1_code,adm1_label,valueX,valueY
73877.00000,Waropen,3703.4857142857145,3755.3142857142857
17974.00000,Karangasem,443.0,174.0
73812.00000,Nias,1470.6666666666667,916.6666666666666
18050.00000,Magelang,1250.0,486.0
73767.00000,Kutai Kartanegara,1540.1851851851852,1388.4444444444443
18199.00000,Kota Gorontalo,2495.0,592.0
18070.00000,Jember,1221.0,29.4
18042.00000,Klaten,1295.0,174.0
73637.00000,Banggai Kepulauan,4000.3333333333335,1801.6666666666667
73665.00000,Buru,3070.285714285714,317.42857142857144
18094.00000,Sampang,2006.0,180.0
73790.00000,Manokwari,3943.722222222222,2140.277777777778
73720.00000,Kota Depok,3492.0,1506.0
18088.00000,Ngawi,1977.0,452.0
73794.00000,Melawi,2469.2,730.8
73828.00000,Polewalimamasa,3221.0,860.3333333333334
18037.00000,Demak,839.0,237.0
73818.00000,Ogan Komering Ulu,2166.0,1494.0
73764.00000,Kuantan Singingi,1516.4,1138.0
18173.00000,Jeneponto,2573.0,43.0
73691.00000,Katingan,2611.4074074074074,1110.3703703703704
18062.00000,Wonogiri,1023.0,34.0
73632.00000,Aceh Utara,1175.25,1379.25
73799.00000,Minahasa Utara,2620.3333333333335,262.6666666666667
73653.00000,Bengkulu Selatan,2344.0,1114.0
73848.00000,Seruyan,2314.157894736842,635.3157894736842
18124.00000,Kota Palangkaraya,2455.0,656.5
73704.00000,Konawe Selatan,7341.2,477.4
18025.00000,Subang,2641.8,686.8
18008.00000,Bogor,3154.5,1357.0
18059.00000,Sukoharjo,1152.0,248.0
73847.00000,Serdang Bedagai,1121.0,1134.0
73810.00000,Natuna,1769.25,1206.25
73647.00000,Batanghari,2449.125,1927.75
73649.00000,Belitung,2056.25,334.5
73783.00000,Maluku Tenggara,825.5,102.5
18182.00000,Selayar,629.0,169.0
17996.00000,Paniai,4749.375,3414.5
73738.00000,Kota Padangsidempuan,713.0,412.0
73829.00000,Pontianak,2005.7857142857142,923.2142857142857
18111.00000,Hulusungai Tengah,3015.5,1603.0
73849.00000,Siak,751.7272727272727,776.1818181818181
73803.00000,Muarojambi,1774.5714285714287,1104.5714285714287
73867.00000,Tasikmalaya,3202.5,1270.5
73627.00000,Aceh Singkil,489.5,586.0
18063.00000,Wonosobo,1017.0,487.0
18093.00000,Probolinggo,1679.5,185.5
18072.00000,Kediri,2583.3333333333335,239.0
18128.00000,Berau,2489.923076923077,1713.1538461538462
18091.00000,Pasuruan,1563.3333333333333,131.66666666666666
18053.00000,Pemalang,1318.5,656.0
73633.00000,Asahan,1188.125,726.0
18234.00000,Langkat,3178.6,2062.2
18110.00000,Hulusungai Selatan,2699.0,968.0
18027.00000,Sumedang,2036.6666666666667,637.0
18116.00000,Tanahlaut,3306.8333333333335,926.0
73640.00000,Bangka Selatan,2617.6666666666665,686.3333333333334
73846.00000,Seram Bagian Timur,9177.0,317.57142857142856
73788.00000,Manggarai Barat,76.0,7.0
18068.00000,Bondowoso,1468.0,189.0
18012.00000,Garut,2915.5,1293.25
73865.00000,Tapanuli Tengah,613.0,650.75
18033.00000,Blora,1559.0,907.0
18117.00000,Tapin,1832.75,541.75
18071.00000,Jombang,1664.0,427.5
73774.00000,Lebong,2423.6666666666665,542.0
73814.00000,Ogan Ilir,2137.6666666666665,915.6666666666666
73667.00000,Ciamis,3691.0,1260.6666666666667
73659.00000,Bombana,4131.0,303.3333333333333
73835.00000,Rokanhilir,1168.0,621.8333333333334
18058.00000,Sragen,1514.0,415.0
73698.00000,Kepulauan-riau,1697.0,916.0
18015.00000,Kota Bandung,2012.0,549.0
73639.00000,Bangka Barat,2611.6666666666665,875.6666666666666
