"ADM2_CODE","ADM2_NAME","EVI Index","Precipitation Index"
41077,"Robatkarim",763.656189,29.28403664
41096,"Savojbolagh",438.1641846,32.14344406
41105,"Shahiryar",736.9292603,32.0255661
41110,"Shemiranat",71.60575867,25.6138916
41130,"Tehran",641.0787354,27.42052078
41136,"Varamin",849.4686279,19.6690731
40866,"Administrative unit not available",821.3202515,8.170719147
40916,"Bukan",785.4971313,57.96349716
41005,"Khoy",382.1150818,26.02993584
41018,"Mahabad",208.5037994,65.08560944
41022,"Maku",340.3222351,19.87929153
41037,"Miandoab",895.6976929,44.45085144
41047,"Naqadeh",465.4515991,51.7907753
41057,"Orumiiyh",-74.91418457,47.41005325
41058,"Oshnavieh",-239.4068451,61.14151001
41063,"Piranshahr",-177.4523315,78.7569809
41083,"Salmas",38.79172897,39.10202789
41092,"Sardasht",672.736084,115.909256
41104,"Shahindezh",331.8627319,44.09836578
41117,"Siyah Cheshmeh",59.43145752,28.84608459
41124,"Takab",-214.0193787,47.12603378
40861,"Abarkuh",563.2281494,24.24973869
40877,"Ardakan",409.8284912,11.87268257
40889,"Bafq",543.4431152,15.46169281
40942,"Eshkzar",525.4284668,15.4923315
41034,"Mehriz",577.1477661,25.51108742
41036,"Meybod",570.7019653,12.1488781
41123,"Taft",519.4387207,20.59040451
41137,"Yazd",583.9616089,11.98461533
40863,"Abhar",178.3385925,40.31522369
40975,"Ijrud",223.7341766,52.37268448
40998,"Khodabandeh",298.3428955,48.66965103
41003,"Khorramdarreh",486.1864624,36.68096924
41021,"Mahneshan",329.5698853,47.24383163
41127,"Tarom",729.1196899,48.35187149
41140,"Zanjan",355.0584412,48.10292053
40876,"Ardabil",649.4243774,29.76000977
40908,"Bilehsavar",1104.531128,35.59840393
40960,"Garmi",1131.247803,33.94393921
40965,"Givi",178.797821,35.09395218
40996,"Khalkhal",416.8237,38.57430649
41035,"Meshkinshahr",751.5377808,30.13096809
41046,"Namin",836.2612915,30.37242508
41052,"Nir",539.1515503,30.31659317
41061,"Parsabad",1386.381836,32.6576767
40869,"Aliabad",1101.980225,32.25456619
40898,"Bandar-e torkaman",1324.801392,34.38941956
40968,"Gonbad-e Kavus",1140.556763,37.41616058
40969,"Gorgan",1197.807861,35.05083466
41009,"Kordkuy",1284.236816,28.50286865
41040,"Minudasht",1340.818481,35.23274612
40915,"Bueinzahra",435.7970581,34.58782959
41065,"Qasr-e shirin",937.7716064,40.84051132
41125,"Takestan",629.2880859,32.8521347
41067,"Qom",530.0894165,18.96119308
23564,"Adam",695.0965576,18.98523521
23565,"Al Hamra",794.477417,40.26528931
23566,"Bahla",765.7556763,28.13298798
23567,"Bid Bid",634.0750732,33.2932663
23568,"Izki",620.1392212,36.48450851
23569,"Manah",683.9979248,26.81092262
23570,"Nizwa (Nazwa)",718.9473877,41.03628922
23571,"Samail",595.7334595,31.96535492
23572,"Al Mudhaibi",652.9797974,21.18522644
23573,"Al Qabil",824.6314087,28.77573776
23574,"Al Wafi",770.1716919,24.99214745
23575,"Biddiya",819.9483643,19.28767204
23576,"Ibra",631.4703369,29.6671257
23577,"Jalan Bani",821.4251709,18.39513969
23578,"Masirah",339.2371826,5.019633293
23579,"Sur",942.2243042,29.59860611
23580,"A Rustaq",625.7319336,31.19494438
23581,"Al Awabi",686.0514526,33.82408142
23582,"Al Khabourah",748.27771,32.57550812
23583,"Al Masnaah",1052.4729,22.94258308
23584,"As Suwaiq",979.7956543,25.29634094
23585,"Barka",1074.127075,21.15977478
23586,"Liwa",650.4592285,38.95969772
