"ADM2_CODE","ADM2_NAME","POP_2010","POV_125"
23013,"Afijio",118301,0.490408
23014,"Akinyele",148543,0.456692
23015,"Egbeda",89476,0.455878
23016,"Ibadannorth",951731,0.276461
23017,"Ibadannorth-east",841733,0.309059
23018,"Ibadannorth-west",36433,0.258012
23019,"Ibadansouth-east",207489,0.391438
23020,"Ibadansouth-west",130102,0.402541
23021,"Ibarapa",116175,0.492637
23022,"Ido",58787,0.50501
23023,"Ifedapo",523109,0.554759
23024,"Ifeloju",218479,0.519477
23025,"Irepo",218653,0.487002
23026,"Iseyin",401230,0.505651
23027,"Kajola",318301,0.519234
23028,"Lagelu",125452,0.469835
23029,"Ogbomoso",357028,0.449753
23030,"Ogo-oluw",72049,0.522146
23031,"Oluyole",98274,0.505551
23032,"Ona-ara",171779,0.503598
23033,"Orelope",105068,0.485928
23034,"Orire",145853,0.518918
23035,"Oyo",473648,0.597584
23036,"Surulere",132161,0.525287
23104,"Bali",461356,0.777435
23105,"Donga",131259,0.755226
23106,"Gashaka",93794,0.798149
23107,"Ibi",65398,0.777372
23108,"Jalingo",171900,0.769464
23109,"Karim-la",180230,0.82175
23110,"Lau",56333,0.779207
23111,"Sardauna",318559,0.732225
23112,"Takum",190856,0.745983
23113,"Wukari",263663,0.752907
23114,"Yorro",229602,0.749548
23115,"Zing",133042,0.73583
23116,"Bade",505354,0.909155
23117,"Damaturu",280264,0.878425
23118,"Fika",221790,0.898316
23119,"Fune",322247,0.906942
23120,"Geidam",164192,0.85675
23121,"Gujba",211308,0.851457
23122,"Nangere",345251,0.913564
23123,"Nguru",264263,0.896896
23124,"Yunusari",127470,0.861833
23125,"Yusufari",104164,0.889013
22589,"Aba",502106,0.237298
22592,"Arochukw",173184,0.647895
22593,"Bende",196928,0.620241
22594,"Ikwuano",149574,0.563905
22595,"Isiala-n",218140,0.526501
22596,"Isuikwua",248003,0.59047
22597,"Obioma-n",555758,0.495405
22598,"Ohafia Abia",246930,0.659689
22601,"Ukwa",104280,0.500678
22602,"Ukwaeast",177739,0.472746
22603,"Umuahia",390571,0.510212
22659,"Alkaleri",481228,0.861562
22661,"Bauchi",578341,0.854361
22663,"Darazo",269505,0.90759
22664,"Dass",87650,0.82112
22666,"Gamawa",299935,0.915634
22667,"Gamjuwa",297343,0.882898
22669,"Itas/gad",187810,0.901284
22670,"Jama'are",130369,0.888948
22672,"Katagum",307317,0.908266
22673,"Misau",424070,0.916066
22675,"Ningi",482006,0.859345
22676,"Shira",427193,0.899407
22677,"Tafawa-b",258552,0.811199
22678,"Toro",396659,0.831084
22680,"Zaki",201072,0.905058
23060,"Brass",474343,0.487367
23062,"Ekeremor",214262,0.688574
23068,"Northern",444565,0.368933
23073,"Sagbama",172071,0.447676
23074,"Southernijaw",355200,0.683237
22590,"Afikpo",157935,0.707418
22591,"Afikposo",158855,0.693824
22599,"Ohaozara",244896,0.68146
22600,"Onicha",207722,0.744861
22758,"Abakalik",378509,0.753185
22762,"Ezza",244027,0.74018
22765,"Ikwo",246762,0.756614
22766,"Ishielu",128912,0.741569
22768,"Izzi",242251,0.774425
22771,"Ohaukwu",189212,0.74899
22967,"Ado-ekiti",334406,0.527124
22972,"Ekitieas",377754,0.542454
22973,"Ekitisouth-west",145259,0.518895
22974,"Ekitiwest",290351,0.518177
22975,"Emure/ise/orun",291406,0.529411
22977,"Ido/osi",175270,0.521035
22979,"Ijero",257133,0.539283
22981,"Ikere",161666,0.523304
22982,"Ikole",188506,0.590969
22986,"Moba",169380,0.529538
22991,"Oye",135667,0.548737
22759,"Awgu",363324,0.643913
22760,"Enugusou",798699,0.673737
22761,"Ezeagu",192861,0.594464
22763,"Igbo-eti",225238,0.652433
22764,"Igbo-eze",378940,0.648681
22767,"Isi-uzo",354393,0.730659
22769,"Nkanu",348369,0.703023
22770,"Nsukka",337848,0.632309
22772,"Oji-river",122832,0.574019
22773,"Udi",254333,0.627122
22774,"Uzo-uwani",95695,0.619221
22658,"Akko",307975,0.800259
22660,"Balanga",233849,0.757643
22662,"Billiri",220493,0.780153
22665,"Dukku",224909,0.874727
22668,"Gombe",491402,0.8071
22671,"Kaltungo",313389,0.766484
22674,"Nafada/b",426523,0.868192
22679,"Yamaltu/",286056,0.79716
23037,"Akwanga",150718,0.619307
23038,"Awe",194369,0.750285
23041,"Doma",146608,0.700968
23044,"Keffi",445970,0.543398
23045,"Lafia",510149,0.685523
23049,"Nasarawa",458396,0.628039
22968,"Akokonorth",216734,0.537217
22969,"Akokonorthwest",200741,0.537045
22970,"Akokosou",320498,0.525667
22971,"Akure",561473,0.497769
22976,"Idanre",128177,0.505749
22978,"Ifedore",178245,0.513718
22980,"Ikale",291759,0.418496
22983,"Ilajeeseodo",419129,0.512019
22984,"Ileoluji/okeigbo",200075,0.511821
22985,"Irele",128427,0.429027
22987,"Odigbo",244354,0.447286
22988,"Ondo",417190,0.480982
22989,"Ose",163176,0.503745
22990,"Owo",255314,0.508765
23039,"Barinkil",309326,0.664917
23040,"Bassa",181023,0.71536
23042,"Josnorth",915454,0.700098
23043,"Kanam",190542,0.849327
23046,"Langtang",158371,0.800056
23047,"Langtang (b)",111898,0.827835
23048,"Mangu",500293,0.714935
23050,"Pankshin",326171,0.768654
23051,"Qua'anpa",202832,0.718175
23052,"Shendam",317852,0.761023
23053,"Wase",161670,0.844605
23054,"Abua/odu",297205,0.346546
23055,"Ahoada",393610,0.331317
23056,"Akukutor",145689,0.578804
23057,"Andoni/o",169541,0.529894
